year,provider_state,provider_type,hcpcs_code,hcpcs_description,place_of_service,line_count,provider_count,beneficiaries,services,estimated_medicare_payment,average_services_per_beneficiary,average_charge_to_allowed_ratio
2024,IL,Advanced Heart Failure and Transplant Cardiology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",F,20,20,1225,1874.0,210171.66000116,1.519813308132165,2.9601300642566106
2024,IL,Interventional Pain Management,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,8,8,1122,2834.0,209619.710000263,2.23307512650867,3.3542830161709287
2023,IN,Allergy/ Immunology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,43,43,2708,3564.0,209463.55000012802,1.2695628878326664,1.794454801381505
2024,IL,Emergency Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,26,26,1214,3321.0,209114.49999937502,1.8659635634000185,2.6393049406387883
2023,IL,Certified Clinical Nurse Specialist,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,33,33,3027,4069.0,209027.680000001,1.4708358562472,2.500464583425004
2023,IN,Internal Medicine,99213,"Established patient office or other outpatient visit, 20-29 minutes",F,51,51,3127,4656.0,208126.410000487,1.3369465480176859,2.251435757949109
2024,IL,Vascular Surgery,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,56,56,2458,2458.0,207698.049999824,1.0,2.6204524230411685
2024,IL,Vascular Surgery,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,16,16,1088,1445.0,206902.80999952002,1.2410157142250673,2.2810551629208606
2024,IL,Hospitalist,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,33,33,2171,3401.0,206052.730000082,1.3508845666617748,1.9357527807964239
2023,IN,Clinical Cardiac Electrophysiology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,40,40,3109,3463.0,205165.319999864,1.076071583941959,1.915049869712322
2024,IN,Allergy/ Immunology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,43,43,1885,1885.0,204712.819999799,1.0,2.1437711595309437
2024,IL,Infectious Disease,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,33,33,954,1495.0,204278.87000051,1.4770103438648134,2.0328028766171324
2023,IL,Pulmonary Disease,99204,"New patient office or other outpatient visit, 45-59 minutes",F,55,55,2026,2026.0,204172.149999718,1.0,2.895469830363469
2024,IL,Advanced Heart Failure and Transplant Cardiology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,31,31,1489,3169.0,204132.969999338,2.002615035569272,2.6268996355493908
2024,IL,Urology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,45,45,2073,2073.0,203099.100000078,1.0,3.287902325961557
2024,IN,Clinical Cardiac Electrophysiology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,31,31,1499,1661.0,202593.80000138,1.0827310239919845,1.8353274821345085
2023,IL,Internal Medicine,99204,"New patient office or other outpatient visit, 45-59 minutes",F,72,72,1964,1964.0,201348.739999995,1.0,2.94610151629929
2023,IN,Micrographic Dermatologic Surgery,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,6,6,2829,3655.0,201003.37999990198,1.305734333489718,1.5250205922374087
2023,IL,Plastic and Reconstructive Surgery,99203,"New patient office or other outpatient visit, 30-44 minutes",O,56,56,2481,2483.0,200789.279999804,1.0012755102040816,2.614981094367615
