provider_state,provider_city,market,records,providers,service_families,services,estimated_payment,median_charge_to_allowed_ratio,top_priority_records
IL,CENTRAILIA,"CENTRAILIA, IL",3,1,2,266,23245.230000072,5.324865184095112,1
IL,CANTRALL,"CANTRALL, IL",1,1,1,264,4009.959999936,5.735517295515202,0
IL,NEW ATHENS,"NEW ATHENS, IL",4,1,2,263,18328.340000007,3.7817817013546984,0
IL,MIDLOTHIAN,"MIDLOTHIAN, IL",6,2,2,262,13621.689999961,2.5784568447897405,0
IN,MONTGOMERY,"MONTGOMERY, IN",3,1,2,259,14572.309999919002,1.7966780385883965,0
IN,SHARPSVILLE,"SHARPSVILLE, IN",2,1,1,256,16514.159999958,1.3764667859057766,0
IL,STEWARDSON,"STEWARDSON, IL",2,1,1,254,15646.4100001,2.555147375807274,0
IL,PLANFIELD,"PLANFIELD, IL",2,1,1,250,16850.830000025002,2.9122598339322883,0
IL,CAMARGO,"CAMARGO, IL",4,2,1,245,13793.880000002,1.784022412864319,0
IL,JOHNSTON CITY,"JOHNSTON CITY, IL",2,1,1,245,11421.009999947999,2.3098899546898695,0
IN,CARLISLE,"CARLISLE, IN",3,2,1,236,8062.170000015999,3.4329583913760686,0
IN,SCHEREVILLE,"SCHEREVILLE, IN",2,1,2,236,13642.569999901,1.9225467114393955,0
IN,W LAFAYETTE,"W LAFAYETTE, IN",2,1,1,236,14572.87000002,1.5237173530374162,0
IL,GILLESPIE,"GILLESPIE, IL",4,3,2,235,12526.949999960001,2.464239265174778,0
IL,ASHLEY,"ASHLEY, IL",2,1,1,229,15713.769999942,2.5720858251295438,1
IN,SWAYZEE,"SWAYZEE, IN",2,1,1,227,12473.429999976,1.6744654740789344,0
IN,MILAN,"MILAN, IN",2,1,1,218,11152.07999998,2.9251759881557016,0
IL,MONTGOMERY,"MONTGOMERY, IL",1,1,1,216,3588.749999928,1.633358539463872,0
IN,VEEDERSBURG,"VEEDERSBURG, IN",3,2,2,213,12390.019999991,1.5398644392482146,0
IN,CULVER,"CULVER, IN",1,1,1,208,3319.799999984,2.8812431657768838,0
IL,SOUTH BELOIT,"SOUTH BELOIT, IL",2,1,1,207,15842.899999969,3.4901405232686544,0
IL,HODGKINS,"HODGKINS, IL",4,2,2,206,13208.380000018,1.036928876401956,0
IN,WEST HARRISON,"WEST HARRISON, IN",3,1,2,204,10486.969999976001,2.0623201612861295,0
IL,ALBION,"ALBION, IL",1,1,1,196,3229.299999968,2.5756692439755504,0
IL,MARKHAM,"MARKHAM, IL",2,1,1,196,12855.33999995,2.7382651866091257,0
IN,CUTLER,"CUTLER, IN",1,1,1,187,23516.68000022,8.39419833258605,1
IN,LANESVILLE,"LANESVILLE, IN",3,1,3,183,9261.879999996001,1.1972861513901822,0
IL,WEST SALEM,"WEST SALEM, IL",1,1,1,179,10535.080000049,3.943631769084581,0
IN,CAMDEN,"CAMDEN, IN",2,1,1,175,7546.709999949,2.233768115411081,0
IN,HUNTERTOWN,"HUNTERTOWN, IN",5,3,1,175,12080.579999921,2.3858569528203737,0
IL,SANDOVAL,"SANDOVAL, IL",2,1,1,171,7461.630000009,3.1532397397520633,0
IL,PETERSBURG,"PETERSBURG, IL",4,2,2,170,9751.609999975999,2.334002560072531,0
IL,CHCIAGO,"CHCIAGO, IL",1,1,1,168,9915.260000016,9.100698712823133,0
IN,NORTH JUDSON,"NORTH JUDSON, IN",2,1,1,168,7663.529999999999,2.752294549716199,0
IN,WHITESTOWN,"WHITESTOWN, IN",1,1,1,168,18183.58999968,8.837143179512646,0
IN,CRAWFORSVILLE,"CRAWFORSVILLE, IN",3,1,1,167,11745.730000015,1.511569352060508,0
IN,LONG BEACH,"LONG BEACH, IN",2,1,2,158,8505.019999954999,2.258847321899971,0
IL,BENLD,"BENLD, IL",2,1,1,154,11283.149999968,1.1244150954343048,0
IL,MOUNT PULASKI,"MOUNT PULASKI, IL",3,1,2,153,9094.469999977,2.8943580835093767,0
IN,CUMBERLAND,"CUMBERLAND, IN",1,1,1,152,11498.290000024,1.5109130534174355,1
IN,DAYTON,"DAYTON, IN",1,1,1,147,2449.7100000660002,4.109336552645029,0
IN,GRIFFIN,"GRIFFIN, IN",4,1,2,146,9842.48999997,1.4967013987350692,0
IN,MC CORDSVILLE,"MC CORDSVILLE, IN",2,1,2,145,7556.390000054,1.210349234883991,0
IN,OAKTOWN,"OAKTOWN, IN",2,1,1,143,9071.489999938,1.402290672063355,0
IL,DUQUOIN,"DUQUOIN, IL",3,2,2,142,13707.820000098001,2.9997780748905254,0
IN,BOGGSTOWN,"BOGGSTOWN, IN",1,1,1,142,14158.160000046,8.955288478182736,1
IL,CAMPAIGN,"CAMPAIGN, IL",2,1,2,138,7298.580000002,3.2222632842337386,0
IL,GIFFORD,"GIFFORD, IL",1,1,1,135,1879.5199999499998,3.0267735242575147,0
IL,HAZELCREST,"HAZELCREST, IL",2,1,1,135,9751.229999967,2.2903404258396316,0
IL,WAYNE CITY,"WAYNE CITY, IL",4,1,2,134,9117.139999972,2.5799019959102782,0
IL,LYNWOOD,"LYNWOOD, IL",1,1,1,131,5843.979999981,2.319374307853835,0
IN,MERRIVILLE,"MERRIVILLE, IN",2,1,1,130,6578.940000048,3.2925499320356977,0
IL,HEYWORTH,"HEYWORTH, IL",1,1,1,128,2018.29,4.385152005810874,0
IL,WALNUT,"WALNUT, IL",2,1,1,127,8885.319999999,2.8168391759966163,0
IL,MARSEILLES,"MARSEILLES, IL",2,1,2,126,5361.47000005,2.9644911024430254,0
IL,ELWOOD,"ELWOOD, IL",1,1,1,117,7646.469999947999,1.2026620093947336,0
IN,MISHIWAKA,"MISHIWAKA, IN",2,1,2,113,7678.710000021,7.093061522135972,0
IL,EAST ST LOUIS,"EAST ST LOUIS, IL",3,2,3,112,11843.180000056,1.9080439025652962,0
IL,EAST DUBUQUE,"EAST DUBUQUE, IL",3,1,2,111,7018.630000006,3.17806055508426,0
IL,COULTERVILLE,"COULTERVILLE, IL",3,1,1,106,4469.339999999001,2.270881189177383,0
IL,MACNEAL,"MACNEAL, IL",2,1,1,106,7311.290000073001,2.661297745654715,0
IN,FREMONT,"FREMONT, IN",2,1,1,105,4712.680000011,1.913625900881576,0
IL,MONTROSE,"MONTROSE, IL",1,1,1,104,5212.290000008,6.731919618386013,0
IN,PEKIN,"PEKIN, IN",3,1,2,100,7237.290000018,1.7923045530581518,0
IN,BUTLER,"BUTLER, IN",2,1,1,98,5600.999999986,1.6695128114960482,0
IN,CHARLOTTESVILLE,"CHARLOTTESVILLE, IN",2,1,1,94,4996.279999998001,1.6224866443712491,0
IN,MONTEREY,"MONTEREY, IN",3,1,2,94,4706.579999977,1.5840390365507746,0
IL,CUBA,"CUBA, IL",2,1,1,92,4483.419999976,2.405321812634308,0
IL,WATSON,"WATSON, IL",2,1,1,91,3212.43,3.0531571325571996,0
IN,MUNICE,"MUNICE, IN",2,1,2,90,10177.689999880002,2.779402569523165,0
IL,BRIDGEPORT,"BRIDGEPORT, IL",2,1,1,89,4960.359999988,3.0093690448279578,0
IL,INDIAN HEAD PARK,"INDIAN HEAD PARK, IL",1,1,1,89,1501.41999996,2.55971803882597,0
IL,CATLIN,"CATLIN, IL",2,1,2,85,4911.950000015,4.116080311428107,0
IL,SHEFFIELD,"SHEFFIELD, IL",1,1,1,82,4911.520000011999,2.9547940532719026,0
IN,MILROY,"MILROY, IN",3,2,1,78,3769.469999992,1.49093137255685,0
IL,ROBBINS,"ROBBINS, IL",3,2,1,77,3553.179999975,2.511431282932908,0
IL,TILTON,"TILTON, IL",2,1,1,77,4462.409999971,2.0587907740946894,0
IN,JEFFERSONVLLE,"JEFFERSONVLLE, IN",5,3,3,76,5047.049999989,2.7522049051588744,0
IL,CARRIER MILLS,"CARRIER MILLS, IL",1,1,1,73,9452.59999979,7.08853584153372,0
IL,BRAIDWOOD,"BRAIDWOOD, IL",2,1,1,72,3982.5499999999997,1.1053438759807097,0
IN,CLAYTON,"CLAYTON, IN",3,1,2,71,3664.419999989,1.8814860649050023,0
IN,RICHLAND,"RICHLAND, IN",2,1,1,70,3091.810000006,1.8136943532150718,0
IL,PORT BYRON,"PORT BYRON, IL",3,1,2,68,3315.229999996,1.9325791791413485,0
IL,SCOTT AFB,"SCOTT AFB, IL",1,1,1,68,3916.7100000279997,2.1025694228308605,0
IN,BROOK,"BROOK, IN",2,1,1,68,1446.990000025,2.504908381054152,0
IN,OTWELL,"OTWELL, IN",1,1,1,67,3416.370000005,1.171971344715606,0
IN,HENRYVILLE,"HENRYVILLE, IN",1,1,1,66,1076.869999986,2.728657430964637,0
IL,MT. CARMEL,"MT. CARMEL, IL",1,1,1,65,3107.820000025,1.7006812289586313,0
IN,CLAY CITY,"CLAY CITY, IN",2,1,1,62,2697.420000007,2.037245154428309,0
IN,UNION MILLS,"UNION MILLS, IN",1,1,1,59,3710.739999995,2.0340357933310727,0
IL,BLANDINSVILLE,"BLANDINSVILLE, IL",1,1,1,55,2786.19,1.6263404412570792,0
IL,RIVERDALE,"RIVERDALE, IL",2,1,1,55,3657.7199999970003,2.5852123624165815,0
IL,WILLIAMSVILLE,"WILLIAMSVILLE, IL",2,1,1,55,2611.30999998,5.687388711013096,0
IL,HIDALGO,"HIDALGO, IL",1,1,1,51,2501.699999976,7.007748876515749,0
IL,"MT.CARMEL, IL 62863","MT.CARMEL, IL 62863, IL",1,1,1,47,2474.6699999770003,1.593621818775518,0
IL,STAUNTON,"STAUNTON, IL",2,2,1,43,5483.48000013,9.415606412549375,0
IL,LEWISTOWN,"LEWISTOWN, IL",1,1,1,42,1910.900000016,1.6223448791148671,0
IN,ODON,"ODON, IN",1,1,1,42,2569.98,1.1867692186026042,0
IL,N BARRINGTON,"N BARRINGTON, IL",1,1,1,38,3399.880000008,1.4447683683895014,0
IN,NEW PALASTINE,"NEW PALASTINE, IN",1,1,1,37,1911.890000011,1.923454438387967,0
IN,CAMBRIDGE CITY,"CAMBRIDGE CITY, IN",2,2,1,31,2131.15,1.8310523715319231,0
