crdc_id,ncessch,fips,leaid,year,race,sex,disability,lep,homeless,students_chronically_absent
172409005034,172409005034,17,1724090,2020,3,99,99,99,99,6
172409005034,172409005034,17,1724090,2020,99,2,99,99,1,3
172409005034,172409005034,17,1724090,2020,99,1,99,99,1,-1
172409005034,172409005034,17,1724090,2020,99,99,99,99,1,-1
172409005034,172409005034,17,1724090,2020,5,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,5,1,99,99,99,-1
172409005034,172409005034,17,1724090,2020,5,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,1,99,99,99,-1
172409005034,172409005034,17,1724090,2020,6,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,7,2,99,99,99,-1
172409005034,172409005034,17,1724090,2020,7,1,99,99,99,1
172409005034,172409005034,17,1724090,2020,7,99,99,99,99,-1
172409005034,172409005034,17,1724090,2020,1,2,99,99,99,6
172409005034,172409005034,17,1724090,2020,1,1,99,99,99,8
172409005034,172409005034,17,1724090,2020,1,99,99,99,99,14
